fqn,db,name,approx_rows,cols,metric_like,impl_n,concept_n,primary_n,uncovered_n,uncovered_sample,status,empty
ads.ads_app_metrics_hourly_d,ads,ads_app_metrics_hourly_d,3471416,38,36,12,12,5,24,"hr,new_reg_ids,new_reg_channel_ids,new_reg_nature_ids,new_reg_ios_ids,new_reg_android_ids,new_reg_pc_ids,new_reg_other_ids,login_all_ids,login_ios_ids",部分挂,False
ads.ads_app_summary_d,ads,ads_app_summary_d,184204,11,9,10,10,10,0,,已挂,False
ads.ads_app_video_funnel_d,ads,ads_app_video_funnel_d,31530,14,11,0,0,0,11,"view_sid_cnt,play_sid_cnt,valid_sid_cnt,complete_sid_cnt,purchase_sid_cnt,ctr,play_to_valid_rate,valid_to_complete_rate,complete_to_pay_rate,overall_rate",未挂,False
ads.ads_channel_daily_funnel_report_d,ads,ads_channel_daily_funnel_report_d,36853489,26,22,21,21,16,1,device_type,部分挂,False
ads.ads_channel_metrics_daily_d,ads,ads_channel_metrics_daily_d,36315926,44,41,18,18,11,24,"login_all_ids,login_ios_ids,login_android_ids,login_pc_ids,login_other_ids,dau_ids,dau_ios_ids,dau_android_ids,dau_pc_ids,dau_other_ids",部分挂,False
ads.ads_channel_promotion_settlement_summary_d,ads,ads_channel_promotion_settlement_summary_d,6003789,10,4,0,0,0,4,"ip_num,deduction_ip_num,new_user,deduction_new_user",未挂,False
ads.ads_channel_promotion_settlement_summary_h,ads,ads_channel_promotion_settlement_summary_h,0,14,5,0,0,0,5,"ip_num,deduction_ip_num,new_user,deduction_new_user,pay_user_num",未挂,True
ads.ads_channel_promotion_summary_d,ads,ads_channel_promotion_summary_d,36944776,21,17,17,17,11,0,,已挂,False
ads.ads_channel_promotion_summary_h,ads,ads_channel_promotion_summary_h,246731622,18,15,15,15,0,0,,已挂,False
ads.ads_channel_summary_d,ads,ads_channel_summary_d,37904988,13,10,10,10,1,0,,已挂,False
ads.ads_comic_analysis_account_d,ads,ads_comic_analysis_account_d,6507798,15,8,0,0,0,8,"show_cnt,view_cnt,complete_cnt,view_uid_bitmap,like_cnt,comment_cnt,collect_cnt,purchase_cnt",未挂,False
ads.ads_content_rank_d_d,ads,ads_content_rank_d_d,5017280493,21,12,0,0,0,12,"view_cnt,view_uv,like_cnt,collect_cnt,comment_cnt,purchase_cnt,sum_play_ms,play_cnt,play_cnt_raw,play_uv",未挂,False
ads.ads_content_rank_m_d,ads,ads_content_rank_m_d,482249133,24,13,0,0,0,13,"month_no,view_cnt,view_uv,like_cnt,collect_cnt,comment_cnt,purchase_cnt,sum_play_ms,play_cnt,play_cnt_raw",未挂,False
ads.ads_content_rank_w_d,ads,ads_content_rank_w_d,1258514295,24,13,0,0,0,13,"week_no,view_cnt,view_uv,like_cnt,collect_cnt,comment_cnt,purchase_cnt,sum_play_ms,play_cnt,play_cnt_raw",未挂,False
ads.ads_keyword_analysis_d_h,ads,ads_keyword_analysis_d_h,1559848658,16,10,0,0,0,10,"search_cnt,search_result_cnt,zero_result_search_cnt,search_uv,click_cnt,video_click_cnt,novel_click_cnt,comic_click_cnt,post_click_cnt,conversion_cnt",未挂,False
ads.ads_keyword_search_hour_d,ads,ads_keyword_search_hour_d,2100276,6,1,0,0,0,1,search_cnt,未挂,False
ads.ads_keyword_search_stats_d,ads,ads_keyword_search_stats_d,566169766,10,6,0,0,0,6,"search_cnt,search_cnt_wow,click_cnt,click_cnt_wow,search_uv,search_uv_wow",未挂,False
ads.ads_keyword_search_summary_d,ads,ads_keyword_search_summary_d,41121,9,6,0,0,0,6,"hot_keyword_cnt,avg_search_depth,search_conv_rate,total_search_cnt,total_search_uv,target_action_uv",未挂,False
ads.ads_landing_page_metrics_d_h,ads,ads_landing_page_metrics_d_h,2083432,22,17,0,0,0,17,"landing_page_view_num,landing_page_view_ip_num,landing_page_click_ip_num,landing_page_download_num,landing_page_download_ip_num,install_num,deduction_install_num,register_num,deduction_register_num,vip_charge_users",未挂,False
ads.ads_page_behavior_hourly_d,ads,ads_page_behavior_hourly_d,39834066,8,3,0,0,0,3,"hr,uv_count,pv_count",未挂,False
ads.ads_page_heatmap_d,ads,ads_page_heatmap_d,12037405082,10,6,4,4,4,2,"x,y",部分挂,False
ads.ads_product_day_stat_d,ads,ads_product_day_stat_d,187399,54,52,41,41,41,11,"effective_dau_count,effective_old_dau_count,effective_new_reg_count,effective_chl_new_reg_count,effective_nat_new_reg_count,login_user_count,non_guest_reg_count,video_play_cnt,ad_impression_cnt,ad_click_cnt",部分挂,False
ads.ads_product_report_metric_d_d,ads,ads_product_report_metric_d_d,63822779,22,16,0,0,0,16,"install_num,new_uid_cnt,active_uid_cnt,login_uid_cnt,launch_cnt,session_cnt,session_dur_sec_sum,daily_dur_sec_sum,daily_uid_cnt,revenue_cny_fen",未挂,False
ads.ads_register_attribution_board_d_d,ads,ads_register_attribution_board_d_d,8517,22,17,0,0,0,17,"eligible_register_cnt,has_candidate_cnt,attribution_success_cnt,high_confidence_cnt,rewrite_success_cnt,rewrite_fail_cnt,rewrite_skipped_cnt,rewrite_not_writeback_cnt,rewrite_unknown_cnt,score_lt60_cnt",未挂,False
ads.ads_register_attribution_no_candidate_reason_d_d,ads,ads_register_attribution_no_candidate_reason_d_d,2090,7,1,0,0,0,1,register_cnt,未挂,False
ads.ads_source_analysis_metric_d,ads,ads_source_analysis_metric_d,63245,43,39,0,0,0,39,"new_user_cnt,day1_ret_cnt,day6_ret_cnt,day14_ret_cnt,day29_ret_cnt,active_user_30d,day_0_pay_amount,day_1_pay_amount,day_2_pay_amount,day_3_pay_amount",未挂,False
ads.ads_user_base_daily_d,ads,ads_user_base_daily_d,66422,32,30,0,0,0,30,"user_ids,vip_user_ids,non_vip_ids,dormancy_light_ids,dormancy_light_vip_ids,dormancy_light_no_vip_ids,dormancy_medium_ids,dormancy_medium_vip_ids,dormancy_medium_no_vip_ids,dormancy_deep_ids",未挂,False
ads.ads_user_dormancy_d,ads,ads_user_dormancy_d,374612,14,10,10,10,10,0,,已挂,False
ads.ads_user_global_status_all,ads,ads_user_global_status_all,35943,7,6,0,0,0,6,"all_device_ids,all_user_ids,all_vip_ids,all_non_vip_ids,reg_user_ids,all_login_ids",未挂,False
ads.ads_user_page_path_d,ads,ads_user_page_path_d,446328578,7,2,2,2,2,0,,已挂,False
ads.ads_user_page_path_name_d_d,ads,ads_user_page_path_name_d_d,447522306,7,2,0,0,0,2,"s_cnt,u_cnt",未挂,False
ads.ads_user_region_geo_d,ads,ads_user_region_geo_d,59659394,18,11,0,0,0,11,"country_geonameid,admin1_geonameid,country_iso2,country_name,lat,lon,reg_user_cnt,recharge_amount,ip_bitmap,uid_bitmap",未挂,False
ads.ads_user_region_stats_d,ads,ads_user_region_stats_d,5184958,10,4,0,0,0,4,"reg_user_cnt,active_user_cnt,vip_active_cnt,normal_active_cnt",未挂,False
ads.ads_user_retention_d,ads,ads_user_retention_d,0,21,17,18,18,13,0,,已挂,True
ads.ads_video_funnel_d,ads,ads_video_funnel_d,993696232,15,11,0,0,0,11,"view_sid_cnt,play_sid_cnt,valid_sid_cnt,complete_sid_cnt,purchase_sid_cnt,ctr,play_to_valid_rate,valid_to_complete_rate,complete_to_pay_rate,overall_rate",未挂,False
ads.ads_video_operation_stats_d,ads,ads_video_operation_stats_d,32547,31,28,0,0,0,28,"video_view_cnt,video_view_wow,video_play_cnt,video_play_wow,play_click_rate,play_click_rate_wow,play_complete_cnt,valid_view_count,valid_view_rate,valid_view_rate_wow",未挂,False
ads.ads_video_tag_heat_daily_d,ads,ads_video_tag_heat_daily_d,50128819,6,1,0,0,0,1,heat_score,未挂,False
dws.dws_ad_error_metric_d,dws,dws_ad_error_metric_d,9972,9,1,0,0,0,1,error_cnt,未挂,False
dws.dws_ad_funnel_metric_d,dws,dws_ad_funnel_metric_d,45256,14,7,0,0,0,7,"fill_cnt,impression_cnt,click_cnt,close_cnt,skip_cnt,impression_closable_cnt,impression_skippable_cnt",未挂,False
dws.dws_ad_request_metric_d,dws,dws_ad_request_metric_d,8702,6,1,0,0,0,1,request_cnt,未挂,False
dws.dws_app_channel_dau_d,dws,dws_app_channel_dau_d,37770843,6,3,3,3,3,0,,已挂,False
dws.dws_app_channel_deduction_d,dws,dws_app_channel_deduction_d,19560075,13,10,9,9,0,1,new_user,部分挂,False
dws.dws_app_channel_deduction_h,dws,dws_app_channel_deduction_h,115753625,13,10,9,9,0,1,new_user,部分挂,False
dws.dws_app_channel_retention_d,dws,dws_app_channel_retention_d,18071797,7,4,4,4,0,0,,已挂,False
dws.dws_app_channel_summary_d,dws,dws_app_channel_summary_d,34206077,16,13,13,13,2,0,,已挂,False
dws.dws_app_channel_summary_h,dws,dws_app_channel_summary_h,246022811,16,13,11,11,0,2,"new_user_ios,new_user_android",部分挂,False
dws.dws_app_coin_consume_d,dws,dws_app_coin_consume_d,0,16,9,0,0,0,9,"consume_users,consume_cnt,consume_qty,new_consume_users,new_consume_cnt,new_consume_qty,old_consume_users,old_consume_cnt,old_consume_qty",未挂,True
dws.dws_app_coin_consume_d_h,dws,dws_app_coin_consume_d_h,13990111,16,9,0,0,0,9,"consume_users,consume_cnt,consume_qty,new_consume_users,new_consume_cnt,new_consume_qty,old_consume_users,old_consume_cnt,old_consume_qty",未挂,False
dws.dws_app_event_funnel_d_d,dws,dws_app_event_funnel_d_d,87213,60,55,0,0,0,55,"device_type,app_install_user_cnt,app_install_session_cnt,app_install_event_cnt,user_register_user_cnt,user_register_session_cnt,user_register_event_cnt,user_login_user_cnt,user_login_session_cnt,user_login_event_cnt",未挂,False
dws.dws_app_order_d,dws,dws_app_order_d,0,20,13,6,6,3,7,"order_type,order_pay_cnt,order_pay_amt,new_order_pay_users,new_order_pay_amt,old_order_pay_cnt,old_order_pay_amt",部分挂,True
dws.dws_app_order_d_h,dws,dws_app_order_d_h,9735997,20,13,0,0,0,13,"order_type,order_create_users,order_create_cnt,order_create_amt,order_pay_users,order_pay_cnt,order_pay_amt,new_order_pay_users,new_order_pay_cnt,new_order_pay_amt",未挂,False
dws.dws_app_page_visit_d_d,dws,dws_app_page_visit_d_d,53237492,15,10,0,0,0,10,"pv_cnt,uid_cnt,entry_cnt,jump_cnt,valid_stay_sec_sum,valid_stay_page_cnt,stay_page_cnt,dropout_page_cnt,load_time_sum,load_cnt",未挂,False
dws.dws_app_retention_d,dws,dws_app_retention_d,0,37,31,31,31,28,0,,已挂,True
dws.dws_app_retention_d_h,dws,dws_app_retention_d_h,279560067,37,31,0,0,0,31,"new_users,day1_ret_cnt,day2_ret_cnt,day3_ret_cnt,day4_ret_cnt,day5_ret_cnt,day6_ret_cnt,day7_ret_cnt,day8_ret_cnt,day9_ret_cnt",未挂,False
dws.dws_app_user_d,dws,dws_app_user_d,0,12,5,5,5,4,0,,已挂,True
dws.dws_app_user_d_h,dws,dws_app_user_d_h,551081797,12,5,0,0,0,5,"new_users,active_users,old_active_users,active_devices,login_users",未挂,False
dws.dws_app_user_m,dws,dws_app_user_m,0,13,5,5,5,5,0,,已挂,True
dws.dws_app_user_m_d_new,dws,dws_app_user_m_d_new,35218292,13,5,0,0,0,5,"new_users,active_users,old_active_users,active_devices,login_users",未挂,False
dws.dws_app_user_w,dws,dws_app_user_w,0,13,5,5,5,5,0,,已挂,True
dws.dws_app_user_w_d_new,dws,dws_app_user_w_d_new,72464178,13,5,0,0,0,5,"new_users,active_users,old_active_users,active_devices,login_users",未挂,False
dws.dws_channel_daily_funnel_d,dws,dws_channel_daily_funnel_d,70944398,29,25,9,9,5,16,"device_type,video_media_bm,novel_id_bm,comic_id_bm,play_video_count,play_novel_count,play_comic_count,video_play_progress_ratio,novel_play_progress_ratio,comic_play_progress_ratio",部分挂,False
dws.dws_channel_funnel_other_d,dws,dws_channel_funnel_other_d,1784188,22,18,0,0,0,18,"device_type,novel_play_device_bm,comic_play_device_bm,novel_id_bm,comic_id_bm,play_novel_count,play_comic_count,novel_play_progress_ratio,comic_play_progress_ratio,pay_uid_bm",未挂,False
dws.dws_channel_funnel_page_d,dws,dws_channel_funnel_page_d,9094090,6,2,0,0,0,2,"device_type,page_display_device_bm",未挂,False
dws.dws_channel_funnel_reg_d,dws,dws_channel_funnel_reg_d,150569780,6,2,0,0,0,2,"device_type,device_id",未挂,False
dws.dws_channel_funnel_user_map_d,dws,dws_channel_funnel_user_map_d,518774369,4,0,0,0,0,0,,未挂,False
dws.dws_channel_funnel_video_d,dws,dws_channel_funnel_video_d,4557451,10,6,0,0,0,6,"device_type,video_play_device_bm,video_media_bm,play_video_count,video_play_progress_ratio,total_play_duration",未挂,False
dws.dws_data_exception_record_d,dws,dws_data_exception_record_d,1248,5,0,0,0,0,0,,未挂,False
dws.dws_dw_table_summary,dws,dws_dw_table_summary,9671,7,5,0,0,0,5,"current_data_num,yesterday_data_num,last_7_day_avg_data_num,empty_column_data_num,event_num",未挂,False
dws.dws_keyword_search_conv_d,dws,dws_keyword_search_conv_d,41121,5,3,0,0,0,3,"search_sid_cnt,conv_sid_cnt,search_conv_rate",未挂,False
dws.dws_recharge_composition_user_h,dws,dws_recharge_composition_user_h,7329973,16,8,4,4,2,4,"register_time,register_date,user_type_source,recharge_user_flag",部分挂,False
dws.dws_register_attribution_metrics_d_d,dws,dws_register_attribution_metrics_d_d,52,15,12,0,0,0,12,"ios_organic_reg_cnt,has_candidate_cnt,attribution_success_cnt,attribution_fail_cnt,high_confidence_cnt,candidate_penetration_rate,attribution_success_rate,high_confidence_rate,rewrite_success_cnt,rewrite_fail_cnt",未挂,False
dws.dws_register_attribution_result_d,dws,dws_register_attribution_result_d,45477,35,10,0,0,0,10,"register_event_id,register_event_time,score,score_brand,score_model,score_system,score_system_version,score_threshold,time_diff_seconds,time_bucket_max_seconds",未挂,False
dws.dws_register_by_landing_page_d,dws,dws_register_by_landing_page_d,9220,4,1,1,1,1,0,,已挂,False
dws.dws_session_duration_device_d,dws,dws_session_duration_device_d,0,15,7,0,0,0,7,"duration_bucket,session_cnt,device_cnt,duration_sum_sec,avg_session_duration_sec,avg_daily_duration_sec,bounce_cnt",未挂,True
dws.dws_session_duration_user_d,dws,dws_session_duration_user_d,13837526,16,7,0,0,0,7,"duration_bucket,session_cnt,user_cnt,duration_sum_sec,avg_session_duration_sec,avg_daily_duration_sec,bounce_cnt",未挂,False
dws.dws_settlement_detail,dws,dws_settlement_detail,2524003103,21,7,0,0,0,7,"deduction,amount,coin_amount,payload,order_type,device_id,neg_req_ts",未挂,False
dws.dws_settlement_user_register_h,dws,dws_settlement_user_register_h,504044993,11,1,0,0,0,1,register_date,未挂,False
dws.dws_source_analysis_active_d,dws,dws_source_analysis_active_d,63232,6,2,0,0,0,2,"new_users,active_user_30d",未挂,False
dws.dws_source_analysis_ltv_d,dws,dws_source_analysis_ltv_d,63231,38,34,0,0,0,34,"new_users,day_0_pay_amount,day_1_pay_amount,day_2_pay_amount,day_3_pay_amount,day_4_pay_amount,day_5_pay_amount,day_6_pay_amount,day_7_pay_amount,day_8_pay_amount",未挂,False
dws.dws_source_analysis_retention_d,dws,dws_source_analysis_retention_d,63226,34,30,0,0,0,30,"new_users,day1_ret_cnt,day2_ret_cnt,day3_ret_cnt,day4_ret_cnt,day5_ret_cnt,day6_ret_cnt,day7_ret_cnt,day8_ret_cnt,day9_ret_cnt",未挂,False
dws.dws_user_base_daily_d,dws,dws_user_base_daily_d,190003,32,30,0,0,0,30,"user_ids,vip_user_ids,non_vip_ids,dormancy_light_ids,dormancy_light_vip_ids,dormancy_light_no_vip_ids,dormancy_medium_ids,dormancy_medium_vip_ids,dormancy_medium_no_vip_ids,dormancy_deep_ids",未挂,False
dws.dws_user_finance_d,dws,dws_user_finance_d,26407841,14,10,0,0,0,10,"recharge_count,recharge_amount,coin_buy_count,coin_buy_amount,vip_buy_count,vip_buy_amount,coin_consume_count,coin_consume_amount,coin_balance_sod,coin_balance_eod",未挂,False
dws.dws_user_first_recharge_retention_d,dws,dws_user_first_recharge_retention_d,0,37,31,31,31,31,0,,已挂,True
dws.dws_user_first_recharge_retention_d_h,dws,dws_user_first_recharge_retention_d_h,5832480,37,31,0,0,0,31,"first_recharge_users,day1_ret_cnt,day2_ret_cnt,day3_ret_cnt,day4_ret_cnt,day5_ret_cnt,day6_ret_cnt,day7_ret_cnt,day8_ret_cnt,day9_ret_cnt",未挂,False
dws.dws_user_ltv_d,dws,dws_user_ltv_d,2286874,11,8,0,0,0,8,"register_date,register_user_cnt,actual_payment_amount_cnt_7,ltv7,actual_payment_amount_cnt_15,ltv15,actual_payment_amount_cnt_30,ltv30",未挂,False
dws.dws_user_promotion_behavior_charge_d,dws,dws_user_promotion_behavior_charge_d,1197283331,11,5,4,4,3,1,register_date,部分挂,False
dws.dws_user_promotion_behavior_charge_h,dws,dws_user_promotion_behavior_charge_h,1200404999,12,5,1,1,0,4,"register_date,vip_charge_amount,deduction_vip_charge_amount,coin_charge_amount",部分挂,False
dws.dws_user_promotion_behavior_d,dws,dws_user_promotion_behavior_d,4201759766,22,11,5,5,3,6,"register_date,vip_charge_amount,deduction_vip_charge_amount,coin_charge_amount,is_payer,is_order_creator",部分挂,False
dws.dws_user_promotion_behavior_h,dws,dws_user_promotion_behavior_h,4832391601,23,11,2,2,0,9,"register_date,vip_charge_amount,deduction_vip_charge_amount,coin_charge_amount,consume_amount,is_video_viewer,total_play_time,is_payer,is_order_creator",部分挂,False
dws.dws_user_reg_ltv_d_h,dws,dws_user_reg_ltv_d_h,215539954,38,32,0,0,0,32,"new_users,day_0_pay_amount,day_1_pay_amount,day_2_pay_amount,day_3_pay_amount,day_4_pay_amount,day_5_pay_amount,day_6_pay_amount,day_7_pay_amount,day_8_pay_amount",未挂,False
dws.dws_user_reg_ltv_daily_d,dws,dws_user_reg_ltv_daily_d,0,38,32,32,32,31,0,,已挂,True
dws.dws_user_reg_video_funnel_d_h,dws,dws_user_reg_video_funnel_d_h,0,9,4,0,0,0,4,"new_users,page_view_user_cnt,video_exposure_user_cnt,first_play_user_cnt",未挂,True
dws.dws_user_reg_video_funnel_daily_d,dws,dws_user_reg_video_funnel_daily_d,16685810,9,4,4,4,3,0,,已挂,False
dws.dws_user_retention_d,dws,dws_user_retention_d,6795256,15,12,0,0,0,12,"register_date,new_user_cnt,day1_ret_cnt,day1_ret_rate,day3_ret_cnt,day3_ret_rate,day7_ret_cnt,day7_ret_rate,day15_ret_cnt,day15_ret_rate",未挂,False
dws.dws_user_tag_d,dws,dws_user_tag_d,240756919,53,36,0,0,0,36,"last_3_login_day,last_7_login_day,last_15_login_day,last_30_login_day,is_play,last_3_video_day,last_7_video_day,last_15_video_day,last_30_video_day,last_3_video_count",未挂,False
dws.dws_user_tag_d_d,dws,dws_user_tag_d_d,1537781445,53,37,0,0,0,37,"last_3_login_day,last_7_login_day,last_15_login_day,last_30_login_day,is_play,last_3_video_day,last_7_video_day,last_15_video_day,last_30_video_day,last_3_video_count",未挂,False
dws.dws_video_account_d_d,dws,dws_video_account_d_d,1032574059,20,13,0,0,0,13,"play_count,view_count,total_play_duration,watch_account_count,complete_count,bounce_count,video_like_count,video_comment_count,video_collect_count,purchase_count",未挂,False
dws.dws_video_device_d_d,dws,dws_video_device_d_d,960621900,19,13,0,0,0,13,"play_count,view_count,total_play_duration,watch_device_count,complete_count,bounce_count,video_like_count,video_comment_count,video_collect_count,purchase_count",未挂,False
